,meter_id,year,month,total_energy,mean_energy,total_generation
53,42125538-4b40-4973-82b7-c1ee8c236482,2020,6,755811.1000000004,262.43440972222237,0.0
54,42125538-4b40-4973-82b7-c1ee8c236482,2020,7,884654.9000000013,297.2630712365596,57999.28900000001
55,42125538-4b40-4973-82b7-c1ee8c236482,2020,8,1032274.3999999999,346.8663978494623,158597.7951
56,42125538-4b40-4973-82b7-c1ee8c236482,2020,9,1040506.7999999986,361.2870833333329,18971.43010000001
57,42125538-4b40-4973-82b7-c1ee8c236482,2020,10,925286.9000000007,310.916297043011,4733.408200000001
58,42125538-4b40-4973-82b7-c1ee8c236482,2020,11,930278.4999999999,323.01336805555553,0.0
59,42125538-4b40-4973-82b7-c1ee8c236482,2020,12,559546.4000000013,188.01962365591442,0.0
60,42125538-4b40-4973-82b7-c1ee8c236482,2021,1,506546.30000000086,170.21045026881748,0.0
61,42125538-4b40-4973-82b7-c1ee8c236482,2021,2,479699.5999999998,178.45967261904755,0.0
62,42125538-4b40-4973-82b7-c1ee8c236482,2021,3,570186.3999999998,191.8527590847913,0.0
63,42125538-4b40-4973-82b7-c1ee8c236482,2021,4,668055.3000000007,231.9636458333336,0.0
64,4a1c056f-204a-4cac-9d91-a4167f5416eb,2020,1,1779037.0,597.794690860215,0.0
65,4a1c056f-204a-4cac-9d91-a4167f5416eb,2020,2,1522362.0,546.8254310344828,0.0
66,4a1c056f-204a-4cac-9d91-a4167f5416eb,2020,3,1624801.0,546.7028936742934,0.0
67,4a1c056f-204a-4cac-9d91-a4167f5416eb,2020,4,1665737.0,578.3809027777778,0.0
68,4a1c056f-204a-4cac-9d91-a4167f5416eb,2020,5,2322933.0,780.5554435483871,0.0
69,4a1c056f-204a-4cac-9d91-a4167f5416eb,2020,6,3020660.0,1048.8402777777778,0.0
70,4a1c056f-204a-4cac-9d91-a4167f5416eb,2020,7,3553321.0,1193.9922715053763,43773.23669999999
71,4a1c056f-204a-4cac-9d91-a4167f5416eb,2020,8,4568892.0,1535.2459677419354,138692.52779999998
72,4a1c056f-204a-4cac-9d91-a4167f5416eb,2020,9,3068187.0,1065.3427083333333,37852.689600000005
73,4a1c056f-204a-4cac-9d91-a4167f5416eb,2020,10,2356929.0,791.9788306451613,56702.095199999996
